Instance,Weighted lbs Carbon per CPU ms
bra3,0.00063
bra4s,0.00063
bra5,0.00063
bra6s,0.00063
bra8s,0.00063
fra1,0.00045
fra11,0.00045
fra12s,0.00045
fra19,0.00045
fra24s,0.00045
fra2s,0.00045
fra32,0.00045
fra34,0.00045
fra36,0.00045
fra4s,0.00045
fra5,0.00045
fra6s,0.00045
fra7,0.00045
fra8s,0.00045
fra9,0.00045
gbr1,0.00195
gbr2s,0.00195
gbr34,0.00195
gbr36,0.00195
gbr38,0.00195
gbr4s,0.00195
kor1,0.00428
kor2s,0.00428
kor4s,0.00428
swe1,0.00006
swe2s,0.00006
swe4s,0.00006
idn2s,0.00676
idn4s,0.00676
idn6,0.00676
ita2s,0.00199
ita4s,0.00199
ita6,0.00199
ind1,0.00606
ind10s,0.00606
ind11,0.00606
ind12s,0.00606
ind13,0.00606
ind14s,0.00606
ind15,0.00606
ind16s,0.00606
ind17,0.00606
ind18s,0.00606
ind19,0.00606
ind20s,0.00606
ind21,0.00606
ind22s,0.00606
ind23,0.00606
ind24s,0.00606
ind25,0.00606
ind26s,0.00606
ind27,0.00606
ind28s,0.00606
ind2s,0.00606
ind37,0.00606
ind3s,0.00606
ind41,0.00606
ind43,0.00606
ind47,0.00606
ind4s,0.00606
ind5,0.00606
ind54s,0.00606
ind56,0.00606
ind58,0.00606
ind60,0.00606
ind62,0.00606
ind64,0.00606
ind66,0.00606
ind68,0.00606
ind6s,0.00606
ind7,0.00606
ind70,0.00606
ind72,0.00606
ind74,0.00606
ind76,0.00606
ind78,0.00606
ind80,0.00606
ind8s,0.00606
ind9,0.00606
deu1,0.00289
deu10s,0.00289
deu11,0.00289
deu12s,0.00289
deu13,0.00289
deu14s,0.00289
deu16s,0.00289
deu20s,0.00289
deu25,0.00289
deu2s,0.00289
deu3,0.00289
deu36,0.00289
deu38,0.00289
deu46,0.00289
deu48s,0.00289
deu4s,0.00289
deu5,0.00289
deu50s,0.00289
deu52,0.00289
deu54,0.00289
deu6s,0.00289
deu8s,0.00289
aus1,0.00676
aus11,0.00676
aus13,0.00676
aus14s,0.00676
aus16s,0.00676
aus18s,0.00676
aus20s,0.00676
aus22s,0.00676
aus23,0.00676
aus24s,0.00676
aus25,0.00676
aus26s,0.00676
aus27,0.00676
aus28s,0.00676
